Date,Open,High,Low,Close,Volume,Adj Close
2013-09-04,42.60,42.60,41.70,42.20,65000,42.20
2013-09-03,41.70,42.20,41.70,41.80,57000,41.80
2013-09-02,41.85,41.85,41.25,41.75,39000,41.75
2013-08-30,42.35,42.65,41.80,42.45,23000,42.45
2013-08-29,41.40,43.45,41.40,42.35,48000,42.35
2013-08-28,41.70,41.70,41.00,41.35,64000,41.35
2013-08-27,42.25,42.45,41.70,41.70,50000,41.70
2013-08-26,42.60,42.60,42.20,42.25,49000,42.25
2013-08-23,42.75,42.75,42.00,42.45,73000,42.45
2013-08-22,43.00,43.15,42.70,42.75,65000,42.75
2013-08-21,43.50,43.50,43.50,43.50,000,43.50
2013-08-20,43.95,44.00,43.20,43.50,77000,43.50
2013-08-19,43.70,44.10,43.70,43.90,82000,43.90
2013-08-16,44.45,44.45,43.70,43.70,63000,43.70
2013-08-15,44.50,44.55,43.85,43.90,37000,43.90
2013-08-14,44.10,44.40,43.70,44.40,32000,44.40
2013-08-13,44.80,44.90,44.00,44.10,73000,44.10
2013-08-12,45.00,45.00,44.00,44.00,64000,44.00
2013-08-09,44.05,45.00,44.00,44.30,22000,44.30
2013-08-08,44.50,45.00,43.00,44.25,62000,44.25
2013-08-07,44.50,45.00,44.50,44.95,32000,44.95
2013-08-06,45.00,45.40,44.70,45.00,49000,45.00
2013-08-05,44.35,46.00,44.20,45.00,96000,45.00
2013-08-02,45.90,46.60,44.10,44.45,133000,44.45
2013-08-01,49.60,49.65,48.75,48.90,101000,47.69
2013-07-31,50.50,51.00,48.75,49.05,80000,47.83
2013-07-30,51.50,51.50,50.00,50.40,105000,49.15
2013-07-29,50.80,51.00,50.30,50.90,94000,49.64
2013-07-26,51.90,52.90,51.00,51.50,449000,50.22
2013-07-25,47.30,50.50,47.30,50.50,332000,49.25
2013-07-24,47.00,47.50,46.90,47.20,41000,46.03
2013-07-23,46.30,46.95,46.30,46.80,54000,45.64
2013-07-22,46.85,46.85,46.05,46.30,49000,45.15
2013-07-19,47.15,47.15,46.25,46.25,57000,45.10
2013-07-18,46.75,46.80,46.15,46.60,46000,45.44
2013-07-17,47.10,47.15,47.00,47.00,21000,45.83
2013-07-16,46.60,47.60,46.60,47.50,97000,46.32
2013-07-15,46.60,47.05,46.60,46.60,31000,45.44
2013-07-12,47.00,47.00,46.55,46.60,40000,45.44
2013-07-11,46.80,47.30,46.75,47.00,23000,45.83
2013-07-10,47.30,47.30,46.45,46.80,128000,45.64
2013-07-09,47.90,48.15,46.65,46.90,78000,45.74
2013-07-08,48.00,48.00,47.30,47.65,25000,46.47
2013-07-05,48.45,48.50,47.70,48.05,42000,46.86
2013-07-04,48.50,48.50,47.60,48.35,16000,47.15
2013-07-03,48.60,49.00,48.00,48.80,18000,47.59
2013-07-02,50.00,50.00,49.30,49.30,21000,48.08
