Date,Open,High,Low,Close,Volume,Adj Close
2013-11-27,10.15,10.25,10.05,10.15,1374000,10.15
2013-11-26,10.45,10.50,10.05,10.15,4993000,10.15
2013-11-25,9.98,10.20,9.80,10.20,4366000,10.20
2013-11-22,9.50,9.64,9.50,9.55,471000,9.55
2013-11-21,9.60,9.64,9.50,9.50,460000,9.50
2013-11-20,9.30,9.70,9.28,9.60,1434000,9.60
2013-11-19,9.21,9.29,9.21,9.28,445000,9.28
2013-11-18,9.30,9.36,9.22,9.25,290000,9.25
2013-11-15,9.36,9.36,9.24,9.25,503000,9.25
2013-11-14,9.21,9.30,9.16,9.22,377000,9.22
2013-11-13,9.25,9.26,9.15,9.21,450000,9.21
2013-11-12,9.30,9.34,9.15,9.20,533000,9.20
2013-11-11,9.21,9.38,9.20,9.26,601000,9.26
2013-11-08,9.64,9.69,9.10,9.10,1152000,9.10
2013-11-07,9.68,9.86,9.68,9.73,724000,9.73
2013-11-06,9.73,9.78,9.60,9.67,560000,9.67
2013-11-05,9.70,9.79,9.61,9.79,706000,9.79
2013-11-04,9.85,9.85,9.75,9.75,755000,9.75
2013-11-01,10.05,10.10,9.84,9.88,687000,9.88
2013-10-31,10.15,10.15,10.00,10.00,679000,10.00
2013-10-30,10.10,10.20,10.00,10.05,851000,10.05
2013-10-29,10.20,10.20,10.00,10.05,926000,10.05
2013-10-28,9.93,10.20,9.91,10.15,1314000,10.15
2013-10-25,9.98,9.99,9.87,9.93,346000,9.93
2013-10-24,9.80,9.98,9.80,9.93,988000,9.93
2013-10-23,10.15,10.15,9.80,9.80,1918000,9.80
2013-10-22,10.30,10.30,9.95,10.05,1949000,10.05
2013-10-21,10.20,10.35,10.20,10.20,1142000,10.20
2013-10-18,10.40,10.40,10.20,10.20,1406000,10.20
2013-10-17,10.30,10.55,10.30,10.30,1875000,10.30
2013-10-16,10.50,10.50,10.20,10.25,1419000,10.25
2013-10-15,10.10,10.60,10.10,10.40,3203000,10.40
2013-10-14,10.05,10.20,9.95,10.00,1637000,10.00
2013-10-11,10.20,10.50,10.00,10.00,2526000,10.00
2013-10-10,10.10,10.10,10.10,10.10,000,10.10
2013-10-09,10.45,10.50,10.05,10.10,3113000,10.10
2013-10-08,10.90,10.95,10.40,10.45,9497000,10.45
2013-10-07,9.95,10.40,9.95,10.40,5189000,10.40
2013-10-04,9.58,9.82,9.50,9.73,3593000,9.73
2013-10-03,9.37,9.72,9.37,9.58,3784000,9.58
2013-10-02,9.16,9.51,9.14,9.30,3123000,9.30
2013-10-01,9.09,9.20,9.09,9.16,629000,9.16
2013-09-30,9.18,9.23,9.04,9.10,1377000,9.10
2013-09-27,9.26,9.26,9.17,9.18,354000,9.18
2013-09-26,9.23,9.41,9.16,9.17,1370000,9.17
2013-09-25,9.10,9.25,9.10,9.21,887000,9.21
2013-09-24,9.10,9.11,9.08,9.10,239000,9.10
2013-09-23,9.09,9.13,9.07,9.09,332000,9.09
2013-09-20,9.09,9.09,9.09,9.09,000,9.09
2013-09-18,9.08,9.15,9.06,9.09,658000,9.09
2013-09-17,9.09,9.13,9.05,9.05,408000,9.05
2013-09-16,9.11,9.13,9.05,9.09,293000,9.09
2013-09-13,9.05,9.09,8.99,9.08,322000,9.08
2013-09-12,9.00,9.07,9.00,9.00,352000,9.00
2013-09-11,9.03,9.03,8.91,9.00,793000,9.00
2013-09-10,9.16,9.16,9.00,9.03,537000,9.03
2013-09-09,9.15,9.20,9.09,9.09,363000,9.09
2013-09-06,9.16,9.25,9.16,9.20,646000,9.20
2013-09-05,9.17,9.21,9.15,9.16,477000,9.16
2013-09-04,9.24,9.24,9.14,9.14,382000,9.14
2013-09-03,9.28,9.35,9.22,9.22,636000,9.22
2013-09-02,9.10,9.27,9.10,9.25,1148000,9.25
2013-08-30,9.09,9.14,9.06,9.10,578000,9.10
2013-08-29,9.04,9.08,9.04,9.07,319000,9.07
2013-08-28,9.05,9.10,9.02,9.03,329000,9.03
2013-08-27,9.14,9.14,9.01,9.05,381000,9.05
2013-08-26,9.07,9.14,9.06,9.06,409000,9.06
2013-08-23,9.15,9.15,9.03,9.03,668000,9.03
2013-08-22,8.92,9.04,8.92,8.98,407000,8.98
2013-08-21,9.00,9.00,9.00,9.00,000,9.00
2013-08-20,9.16,9.17,8.95,9.00,617000,9.00
2013-08-19,9.06,9.18,9.05,9.14,374000,9.14
2013-08-16,9.15,9.20,9.08,9.11,671000,9.11
2013-08-15,9.16,9.28,9.05,9.17,1513000,9.17
2013-08-14,9.05,9.25,9.02,9.17,1996000,9.17
2013-08-13,9.04,9.04,8.95,9.01,572000,9.01
2013-08-12,9.03,9.04,8.94,8.95,260000,8.95
2013-08-09,9.02,9.05,8.92,9.01,447000,9.01
2013-08-08,9.00,9.10,9.00,9.02,534000,9.02
2013-08-07,9.00,9.03,8.91,9.00,324000,9.00
2013-08-06,9.04,9.04,8.96,9.02,317000,9.02
2013-08-05,8.93,9.04,8.84,9.00,747000,9.00
