Date,Open,High,Low,Close,Volume,Adj Close
2013-11-27,8.98,9.03,8.96,9.02,38000,9.02
2013-11-26,8.95,9.03,8.95,8.96,81000,8.96
2013-11-25,8.95,9.03,8.95,8.95,53000,8.95
2013-11-22,9.00,9.00,8.81,8.95,224000,8.95
2013-11-21,9.10,9.10,9.03,9.03,29000,9.03
2013-11-20,9.05,9.09,9.05,9.05,39000,9.05
2013-11-19,9.10,9.10,9.01,9.05,109000,9.05
2013-11-18,9.12,9.15,9.10,9.13,33000,9.13
2013-11-15,9.15,9.15,9.11,9.12,49000,9.12
2013-11-14,9.00,9.20,9.00,9.19,200000,9.19
2013-11-13,9.06,9.23,9.06,9.11,47000,9.11
2013-11-12,9.23,9.24,9.15,9.15,96000,9.15
2013-11-11,9.40,9.42,8.75,9.23,335000,9.23
2013-11-08,9.36,9.59,9.35,9.35,257000,9.35
2013-11-07,9.35,9.48,9.35,9.35,157000,9.35
2013-11-06,9.52,9.52,9.31,9.35,87000,9.35
2013-11-05,9.58,9.60,9.50,9.50,200000,9.50
2013-11-04,9.60,9.60,9.58,9.58,76000,9.58
2013-11-01,9.68,9.68,9.63,9.65,52000,9.65
2013-10-31,9.68,9.72,9.62,9.68,64000,9.68
2013-10-30,9.72,9.72,9.66,9.67,69000,9.67
2013-10-29,9.61,9.70,9.61,9.70,72000,9.70
2013-10-28,9.65,9.67,9.61,9.67,45000,9.67
2013-10-25,9.65,9.70,9.65,9.65,68000,9.65
2013-10-24,9.65,9.66,9.65,9.65,57000,9.65
2013-10-23,9.70,9.71,9.64,9.65,65000,9.65
2013-10-22,9.70,9.73,9.67,9.73,41000,9.73
2013-10-21,9.79,9.79,9.66,9.73,24000,9.73
2013-10-18,9.70,9.70,9.63,9.70,59000,9.70
2013-10-17,9.70,9.72,9.63,9.64,74000,9.64
2013-10-16,9.78,9.78,9.60,9.65,97000,9.65
2013-10-15,9.68,9.75,9.60,9.70,68000,9.70
2013-10-14,9.69,9.69,9.60,9.60,222000,9.60
2013-10-11,9.80,9.80,9.66,9.69,163000,9.69
2013-10-10,9.72,9.72,9.72,9.72,000,9.72
2013-10-09,9.82,9.82,9.68,9.72,123000,9.72
2013-10-08,9.80,9.83,9.70,9.81,165000,9.81
2013-10-07,9.73,9.88,9.73,9.80,306000,9.80
2013-10-04,9.72,9.80,9.67,9.73,600000,9.73
2013-10-03,9.75,9.76,9.72,9.76,121000,9.76
2013-10-02,9.70,9.73,9.69,9.71,141000,9.71
2013-10-01,9.70,9.74,9.66,9.71,37000,9.71
2013-09-30,9.66,9.67,9.65,9.66,30000,9.66
2013-09-27,9.68,9.68,9.65,9.67,78000,9.67
2013-09-26,9.70,9.70,9.67,9.67,30000,9.67
2013-09-25,9.69,9.73,9.69,9.70,101000,9.70
2013-09-24,9.70,9.70,9.65,9.69,53000,9.69
2013-09-23,9.71,9.77,9.63,9.69,158000,9.69
2013-09-20,9.71,9.71,9.71,9.71,000,9.71
2013-09-18,9.73,9.73,9.62,9.71,108000,9.71
2013-09-17,9.68,9.73,9.68,9.73,126000,9.73
2013-09-16,9.76,9.77,9.66,9.73,18000,9.73
2013-09-13,9.87,9.87,9.60,9.75,81000,9.75
2013-09-12,9.73,9.80,9.67,9.80,59000,9.80
2013-09-11,9.83,9.83,9.73,9.73,29000,9.73
2013-09-10,9.80,9.88,9.78,9.80,46000,9.80
2013-09-09,9.96,9.96,9.78,9.79,108000,9.79
2013-09-06,9.82,9.98,9.76,9.92,171000,9.92
2013-09-05,9.72,9.79,9.72,9.76,106000,9.76
2013-09-04,9.74,9.76,9.71,9.73,53000,9.73
2013-09-03,9.72,9.77,9.72,9.74,78000,9.74
2013-09-02,9.74,9.74,9.69,9.72,194000,9.72
2013-08-30,9.65,9.75,9.65,9.74,52000,9.74
2013-08-29,9.65,9.78,9.65,9.70,57000,9.70
2013-08-28,9.60,9.72,9.60,9.70,54000,9.70
2013-08-27,9.75,9.77,9.63,9.63,32000,9.63
2013-08-26,9.70,9.70,9.65,9.65,41000,9.65
2013-08-23,9.65,9.74,9.61,9.74,40000,9.74
2013-08-22,9.60,9.65,9.60,9.65,67000,9.65
2013-08-21,9.62,9.62,9.62,9.62,000,9.62
2013-08-20,9.72,9.72,9.62,9.62,108000,9.62
2013-08-19,9.70,9.77,9.70,9.72,133000,9.72
2013-08-16,9.70,9.72,9.68,9.70,107000,9.70
2013-08-15,9.71,9.75,9.71,9.72,135000,9.72
2013-08-14,9.80,9.92,9.80,9.80,181000,9.80
2013-08-13,9.85,9.85,9.78,9.83,40000,9.83
2013-08-12,9.79,9.84,9.70,9.76,105000,9.76
2013-08-09,9.70,9.79,9.70,9.70,94000,9.70
2013-08-08,9.75,9.84,9.75,9.76,28000,9.76
2013-08-07,9.80,9.85,9.73,9.75,186000,9.75
2013-08-06,9.90,9.94,9.85,9.85,107000,9.85
2013-08-05,9.90,9.98,9.86,9.90,381000,9.90
2013-08-02,10.30,10.35,10.25,10.25,374000,10.03
2013-08-01,10.35,10.35,10.20,10.25,286000,10.03
2013-07-31,10.20,10.30,10.20,10.30,172000,10.07
2013-07-30,10.30,10.35,10.25,10.35,106000,10.12
2013-07-29,10.30,10.30,10.25,10.30,48000,10.07
2013-07-26,10.30,10.35,10.20,10.30,61000,10.07
2013-07-25,10.25,10.35,10.20,10.20,104000,9.98
2013-07-24,10.35,10.35,10.25,10.25,113000,10.03
2013-07-23,10.20,10.35,10.20,10.25,322000,10.03
2013-07-22,10.20,10.30,10.20,10.20,61000,9.98
2013-07-19,10.30,10.30,10.20,10.20,233000,9.98
