Date,Open,High,Low,Close,Volume,Adj Close
2013-11-27,22.60,24.10,22.40,23.95,10197000,23.95
2013-11-26,22.10,22.80,21.85,22.55,3433000,22.55
2013-11-25,22.20,22.20,21.75,21.90,1520000,21.90
2013-11-22,22.45,22.70,21.90,21.90,3456000,21.90
2013-11-21,22.00,22.15,21.70,22.15,2156000,22.15
2013-11-20,21.80,22.35,21.80,22.00,2645000,22.00
2013-11-19,21.60,22.10,21.60,21.75,1687000,21.75
2013-11-18,22.10,22.25,21.50,21.50,2219000,21.50
2013-11-15,22.60,22.80,21.95,22.10,3581000,22.10
2013-11-14,21.75,22.45,21.50,22.20,4132000,22.20
2013-11-13,21.00,22.10,20.75,21.30,3621000,21.30
2013-11-12,22.00,22.20,20.55,21.20,3820000,21.20
2013-11-11,22.45,22.60,21.65,21.80,2840000,21.80
2013-11-08,21.85,22.80,21.55,22.20,4938000,22.20
2013-11-07,22.40,22.40,21.75,21.95,7477000,21.95
2013-11-06,22.45,22.45,22.20,22.45,12962000,22.45
2013-11-05,20.20,21.00,19.90,21.00,3522000,21.00
2013-11-04,20.60,21.20,20.05,20.40,3147000,20.40
2013-11-01,21.50,21.70,20.50,20.70,3538000,20.70
2013-10-31,21.70,21.75,21.25,21.40,2804000,21.40
2013-10-30,21.75,21.85,21.15,21.50,3219000,21.50
2013-10-29,21.70,21.70,21.20,21.50,3432000,21.50
2013-10-28,21.45,22.25,21.10,21.85,8403000,21.85
2013-10-25,20.40,20.95,20.20,20.80,5024000,20.80
2013-10-24,20.45,21.25,20.20,21.00,14612000,21.00
2013-10-23,18.80,19.95,18.70,19.95,6390000,19.95
2013-10-22,18.60,18.80,18.45,18.65,669000,18.65
2013-10-21,18.70,18.70,18.45,18.60,559000,18.60
2013-10-18,18.70,18.80,18.45,18.70,758000,18.70
2013-10-17,18.70,18.70,18.40,18.60,499000,18.60
2013-10-16,18.65,18.70,18.25,18.35,606000,18.35
2013-10-15,18.35,18.70,18.25,18.45,781000,18.45
2013-10-14,18.80,18.80,18.10,18.15,1491000,18.15
2013-10-11,18.95,19.05,18.60,18.80,771000,18.80
2013-10-10,18.75,18.75,18.75,18.75,000,18.75
2013-10-09,18.95,19.10,18.60,18.75,1218000,18.75
2013-10-08,19.15,19.20,18.75,18.90,1247000,18.90
2013-10-07,19.00,19.35,18.90,19.10,2794000,19.10
2013-10-04,18.70,19.00,18.55,18.90,1787000,18.90
2013-10-03,18.25,18.75,18.20,18.60,1910000,18.60
2013-10-02,18.60,18.60,18.25,18.25,2038000,18.25
2013-10-01,18.80,18.80,18.60,18.60,875000,18.60
2013-09-30,18.50,18.80,18.40,18.75,1093000,18.75
2013-09-27,18.70,18.85,18.50,18.55,635000,18.55
2013-09-26,18.85,18.95,18.50,18.50,985000,18.50
2013-09-25,18.90,18.95,18.50,18.85,1602000,18.85
2013-09-24,18.95,19.30,18.70,18.80,1360000,18.80
2013-09-23,19.20,19.40,18.90,19.00,1488000,19.00
2013-09-20,19.20,19.20,19.20,19.20,000,19.20
2013-09-18,18.95,19.50,18.80,19.20,2901000,19.20
2013-09-17,18.50,18.80,18.35,18.75,2074000,18.75
2013-09-16,17.85,18.90,17.70,18.90,5103000,18.90
2013-09-13,17.50,17.75,17.50,17.70,590000,17.70
2013-09-12,18.00,18.00,17.50,17.55,1349000,17.55
2013-09-11,18.00,18.00,17.60,17.85,1347000,17.85
2013-09-10,18.70,18.80,17.40,17.85,3022000,17.85
2013-09-09,18.70,18.90,18.55,18.60,1280000,18.60
2013-09-06,18.80,18.95,18.65,18.70,1449000,18.70
2013-09-05,18.80,18.85,18.60,18.60,1119000,18.60
2013-09-04,18.85,19.00,18.55,18.60,1168000,18.60
2013-09-03,18.80,19.00,18.70,18.85,1375000,18.85
2013-09-02,18.55,18.90,18.55,18.60,1304000,18.60
2013-08-30,18.80,18.90,18.55,18.55,1394000,18.55
2013-08-29,18.65,18.80,18.60,18.60,1320000,18.60
2013-08-28,18.50,18.80,18.10,18.55,2944000,18.55
2013-08-27,19.30,19.50,18.90,18.90,1744000,18.90
2013-08-26,19.50,19.60,19.20,19.30,1009000,19.30
2013-08-23,19.45,19.70,19.30,19.30,2804000,19.30
2013-08-22,19.00,19.50,19.00,19.50,1616000,19.50
2013-08-21,19.00,19.00,19.00,19.00,000,19.00
2013-08-20,19.40,19.75,19.00,19.00,2800000,19.00
2013-08-19,19.75,19.80,19.35,19.35,2209000,19.35
2013-08-16,19.40,19.85,19.35,19.65,2822000,19.65
2013-08-15,19.40,19.70,19.15,19.50,3130000,19.50
2013-08-14,19.10,19.80,18.70,19.50,3982000,19.50
2013-08-13,19.40,19.45,19.00,19.00,2667000,19.00
2013-08-12,19.00,19.45,18.65,19.35,3163000,19.35
2013-08-09,19.55,19.75,18.65,19.00,5061000,19.00
2013-08-08,19.90,20.10,19.10,19.60,7660000,19.60
2013-08-07,22.10,22.15,20.50,20.50,14798000,20.50
2013-08-06,20.60,22.00,20.60,22.00,13991000,22.00
2013-08-05,20.80,21.15,20.25,20.60,5494000,20.60
2013-08-02,19.65,20.70,19.50,20.70,7348000,20.70
2013-08-01,19.00,19.90,19.00,19.35,2692000,19.35
2013-07-31,19.70,19.95,18.80,19.00,3263000,19.00
2013-07-30,20.10,20.10,19.55,19.70,2741000,19.70
2013-07-29,20.00,20.10,18.90,19.45,3654000,19.45
2013-07-26,20.80,20.80,19.35,19.80,5015000,19.80
2013-07-25,20.45,21.30,20.35,20.70,5091000,20.70
2013-07-24,20.45,20.80,20.15,20.25,3558000,20.25
2013-07-23,21.00,21.05,20.25,20.45,9969000,20.45
2013-07-22,19.60,20.25,19.60,20.25,4314000,20.25
2013-07-19,19.00,19.25,18.70,18.95,5009000,18.95
