Date,Open,High,Low,Close,Volume,Adj Close
2013-11-27,10.20,10.20,9.86,9.86,198000,9.86
2013-11-26,9.72,10.25,9.72,10.15,290000,10.15
2013-11-25,10.05,10.05,9.85,9.90,238000,9.90
2013-11-22,10.30,10.30,10.00,10.05,190000,10.05
2013-11-21,10.30,10.45,10.00,10.30,204000,10.30
2013-11-20,10.00,10.45,10.00,10.40,396000,10.40
2013-11-19,10.00,10.00,9.69,10.00,303000,10.00
2013-11-18,10.85,10.85,10.00,10.00,791000,10.00
2013-11-15,10.60,10.90,10.50,10.75,797000,10.75
2013-11-14,11.40,11.40,10.50,10.95,3299000,10.95
2013-11-13,10.70,10.70,10.70,10.70,316000,10.70
2013-11-12,10.00,10.00,10.00,10.00,257000,10.00
2013-11-11,9.38,9.38,9.38,9.38,436000,9.38
2013-11-08,8.30,8.77,8.20,8.77,477000,8.77
2013-11-07,8.16,8.20,8.16,8.20,19000,8.20
2013-11-06,8.20,8.25,8.16,8.16,31000,8.16
2013-11-05,8.16,8.20,8.10,8.20,88000,8.20
2013-11-04,8.16,8.16,8.10,8.16,56000,8.16
2013-11-01,8.05,8.11,8.05,8.11,9000,8.11
2013-10-31,8.10,8.30,8.01,8.05,143000,8.05
2013-10-30,8.01,8.01,7.93,8.01,25000,8.01
2013-10-29,8.00,8.02,8.00,8.01,19000,8.01
2013-10-28,8.00,8.08,8.00,8.08,11000,8.08
2013-10-25,8.14,8.15,8.10,8.10,31000,8.10
2013-10-24,8.01,8.10,8.01,8.10,4000,8.10
2013-10-23,8.02,8.11,8.02,8.10,138000,8.10
2013-10-22,8.10,8.18,8.10,8.10,121000,8.10
2013-10-21,8.02,8.25,7.91,8.20,50000,8.20
2013-10-18,8.20,8.20,8.02,8.02,38000,8.02
2013-10-17,8.10,8.20,8.00,8.20,135000,8.20
2013-10-16,8.01,8.19,7.88,8.10,55000,8.10
2013-10-15,8.01,8.15,7.94,8.09,14000,8.09
2013-10-14,8.00,8.30,7.83,8.01,82000,8.01
2013-10-11,7.90,8.09,7.90,8.00,90000,8.00
2013-10-10,7.90,7.90,7.90,7.90,000,7.90
2013-10-09,7.82,7.90,7.75,7.90,146000,7.90
2013-10-08,7.91,8.09,7.81,7.91,51000,7.91
2013-10-07,7.90,7.91,7.85,7.91,35000,7.91
2013-10-04,7.86,7.91,7.81,7.90,131000,7.90
2013-10-03,8.00,8.05,7.91,7.91,27000,7.91
2013-10-02,7.90,8.06,7.90,8.00,55000,8.00
2013-10-01,7.90,7.90,7.90,7.90,92000,7.90
2013-09-30,7.86,7.94,7.86,7.86,12000,7.86
2013-09-27,7.92,7.96,7.87,7.87,31000,7.87
2013-09-26,7.92,7.92,7.85,7.92,60000,7.92
2013-09-25,7.95,8.00,7.91,8.00,32000,8.00
2013-09-24,7.96,8.04,7.95,7.96,17000,7.96
2013-09-23,8.08,8.08,7.94,8.08,106000,8.08
2013-09-20,8.10,8.10,8.10,8.10,000,8.10
2013-09-18,7.94,8.10,7.92,8.10,63000,8.10
2013-09-17,8.10,8.10,7.91,7.94,38000,7.94
2013-09-16,8.11,8.20,7.95,8.20,53000,8.20
2013-09-13,8.00,8.01,8.00,8.01,140000,8.01
2013-09-12,8.01,8.16,7.93,7.93,32000,7.93
2013-09-11,8.25,8.25,8.06,8.06,113000,8.06
