Date,Open,High,Low,Close,Volume,Adj Close
2013-09-04,30.70,31.20,30.55,30.55,109000,30.55
2013-09-03,31.00,31.00,30.60,30.60,111000,30.60
2013-09-02,30.50,30.95,30.45,30.90,73000,30.90
2013-08-30,31.20,31.20,30.35,30.35,166000,30.35
2013-08-29,30.50,31.45,30.10,30.70,224000,30.70
2013-08-28,29.80,30.70,29.80,30.10,100000,30.10
2013-08-27,31.80,31.80,30.70,30.70,251000,30.70
2013-08-26,31.70,31.85,30.60,31.20,405000,31.20
2013-08-23,29.00,32.00,29.00,31.70,1068000,31.70
2013-08-22,29.80,30.25,29.50,29.95,38000,29.95
2013-08-21,29.80,29.80,29.80,29.80,000,29.80
2013-08-20,29.90,30.05,29.70,29.80,232000,29.80
2013-08-19,29.80,31.00,29.70,30.15,165000,30.15
2013-08-16,28.80,29.90,28.80,29.65,88000,29.65
2013-08-15,30.00,30.00,29.20,29.20,94000,29.20
2013-08-14,30.20,30.50,29.80,30.20,305000,30.20
2013-08-13,30.10,30.60,29.50,30.55,371000,30.55
2013-08-12,30.00,30.80,29.90,30.10,227000,30.10
2013-08-09,30.00,30.25,29.50,29.90,168000,29.90
2013-08-08,29.40,30.45,29.30,29.70,125000,29.70
2013-08-07,29.20,29.80,29.20,29.50,100000,29.50
2013-08-06,30.10,30.10,29.55,29.95,73000,29.95
2013-08-05,30.00,30.60,30.00,30.05,287000,30.05
2013-08-02,29.20,29.80,29.15,29.75,405000,29.75
2013-08-01,28.00,28.90,28.00,28.90,142000,28.90
2013-07-31,27.60,28.30,27.60,28.00,113000,28.00
2013-07-30,28.20,28.20,27.80,28.20,126000,28.20
2013-07-29,28.20,28.20,27.30,27.30,77000,27.30
2013-07-26,26.90,27.80,26.80,27.80,117000,27.80
2013-07-25,26.90,27.00,26.35,26.65,123000,26.65
2013-07-24,27.40,27.40,26.90,26.90,94000,26.90
2013-07-23,27.05,27.35,27.05,27.10,67000,27.10
2013-07-22,27.15,27.50,27.05,27.05,83000,27.05
2013-07-19,27.20,27.45,27.10,27.10,43000,27.10
2013-07-18,27.10,27.40,27.10,27.20,56000,27.20
2013-07-17,27.35,27.55,27.00,27.30,65000,27.30
2013-07-16,27.35,27.80,27.35,27.50,21000,27.50
2013-07-15,28.40,28.40,27.35,27.35,28000,27.35
2013-07-12,27.30,28.25,27.30,27.80,32000,27.80
2013-07-11,27.20,27.70,27.05,27.30,105000,27.30
2013-07-10,27.75,27.75,26.80,27.25,117000,27.25
2013-07-09,29.25,29.60,28.60,28.60,250000,27.80
2013-07-08,29.45,29.55,29.10,29.45,28000,28.63
2013-07-05,29.80,29.80,29.40,29.45,60000,28.63
2013-07-04,29.60,29.90,29.60,29.80,66000,28.97
2013-07-03,29.80,30.00,29.40,29.65,69000,28.82
2013-07-02,29.45,29.85,29.45,29.85,94000,29.02
2013-07-01,29.20,29.60,29.00,29.45,55000,28.63
2013-06-28,29.30,29.50,29.10,29.20,66000,28.38
2013-06-27,29.15,29.60,28.90,29.30,71000,28.48
2013-06-26,28.50,29.60,28.50,29.15,92000,28.33
2013-06-25,29.00,29.20,28.25,28.50,146000,27.70
2013-06-24,29.90,29.90,29.35,29.35,37000,28.53
2013-06-21,29.50,29.90,29.10,29.90,206000,29.06
2013-06-20,29.10,30.10,29.10,30.00,60000,29.16
2013-06-19,30.15,30.15,29.90,29.90,43000,29.06
2013-06-18,30.00,30.25,29.95,30.10,68000,29.26
2013-06-17,30.55,30.55,29.95,30.00,78000,29.16
2013-06-14,30.45,30.75,30.00,30.00,80000,29.16
2013-06-13,30.00,31.10,30.00,30.45,303000,29.60
2013-06-12,30.70,30.70,30.70,30.70,000,29.84
2013-06-11,30.20,31.80,30.20,30.70,584000,29.84
2013-06-10,30.10,30.50,30.10,30.20,53000,29.36
2013-06-07,30.10,30.50,29.80,30.10,168000,29.26
2013-06-06,30.10,30.90,30.00,30.40,156000,29.55
2013-06-05,30.85,31.25,30.50,30.50,80000,29.65
2013-06-04,31.05,31.30,31.05,31.05,28000,30.18
2013-06-03,31.00,31.60,31.00,31.05,67000,30.18
2013-05-31,31.80,31.80,31.00,31.80,181000,30.91
2013-05-30,29.65,31.80,29.65,31.80,252000,30.91
2013-05-29,31.85,31.90,31.25,31.80,231000,30.91
2013-05-28,32.10,32.20,32.00,32.00,230000,31.10
2013-05-27,32.10,32.25,32.00,32.05,415000,31.15
2013-05-24,32.00,33.00,31.70,31.80,725000,30.91
2013-05-23,31.50,31.60,31.20,31.50,476000,30.62
2013-05-22,31.50,31.60,31.35,31.40,248000,30.52
2013-05-21,31.50,31.90,31.30,31.30,229000,30.42
2013-05-20,31.20,32.10,31.10,31.30,579000,30.42
2013-05-17,30.80,30.80,30.20,30.50,188000,29.65
2013-05-16,30.50,31.15,30.45,30.75,387000,29.89
2013-05-15,30.50,30.70,30.20,30.45,323000,29.60
2013-05-14,30.70,30.70,30.20,30.50,361000,29.65
2013-05-13,30.30,31.20,30.15,30.60,940000,29.74
2013-05-10,28.60,30.25,28.50,30.15,965000,29.31
2013-05-09,28.15,28.50,28.00,28.50,174000,27.70
2013-05-08,27.00,28.25,27.00,28.00,289000,27.22
2013-05-07,27.10,27.15,27.00,27.05,100000,26.29
2013-05-06,27.25,27.35,27.00,27.35,121000,26.58
2013-05-03,27.50,27.50,27.00,27.00,104000,26.24
2013-05-02,27.60,27.60,27.15,27.15,90000,26.39
2013-05-01,27.15,27.15,27.15,27.15,000,26.39
2013-04-30,27.35,27.60,27.05,27.15,276000,26.39
2013-04-29,27.15,27.40,27.00,27.15,101000,26.39
2013-04-26,27.00,27.95,27.00,27.15,186000,26.39
2013-04-25,27.30,27.55,27.00,27.10,104000,26.34
2013-04-24,27.40,27.60,27.30,27.30,179000,26.54
2013-04-23,27.55,27.55,27.10,27.10,59000,26.34
2013-04-22,27.90,28.00,27.20,27.20,202000,26.44
2013-04-19,28.15,28.20,27.80,27.90,116000,27.12
2013-04-18,27.80,28.30,27.50,28.15,104000,27.36
2013-04-17,27.80,28.00,27.35,27.80,85000,27.02
2013-04-16,26.60,27.60,26.00,27.35,173000,26.58
2013-04-15,28.50,28.50,26.60,27.10,467000,26.34
2013-04-12,28.80,28.80,28.05,28.40,272000,27.61
2013-04-11,28.50,28.95,28.50,28.50,173000,27.70
2013-04-10,28.00,28.75,28.00,28.50,277000,27.70
2013-04-09,29.00,29.20,28.50,28.50,513000,27.70
2013-04-08,30.20,30.25,29.00,29.10,498000,28.29
2013-04-05,30.95,30.95,30.95,30.95,000,30.08
2013-04-04,30.95,30.95,30.95,30.95,000,30.08
2013-04-03,31.00,31.05,30.65,30.95,139000,30.08
2013-04-02,30.90,31.00,30.60,30.95,174000,30.08
2013-04-01,31.20,31.50,30.80,30.90,253000,30.04
2013-03-29,30.40,31.70,30.40,31.20,1108000,30.33
2013-03-28,30.60,30.60,30.40,30.40,242000,29.55
2013-03-27,30.50,30.70,30.40,30.55,213000,29.70
2013-03-26,30.20,30.80,30.20,30.50,286000,29.65
2013-03-25,30.70,30.70,30.15,30.50,304000,29.65
2013-03-22,29.85,30.80,29.85,30.50,812000,29.65
2013-03-21,30.00,30.25,29.95,30.00,127000,29.16
2013-03-20,30.50,30.50,29.90,29.90,245000,29.06
2013-03-19,30.00,30.60,30.00,30.50,374000,29.65
2013-03-18,30.70,30.70,29.90,30.10,274000,29.26
2013-03-15,30.70,30.70,30.15,30.70,337000,29.84
2013-03-14,30.90,30.95,30.00,30.30,369000,29.45
2013-03-13,29.80,31.40,29.80,30.75,836000,29.89
2013-03-12,29.50,30.25,29.50,29.80,283000,28.97
2013-03-11,30.00,30.00,29.50,29.55,338000,28.72
2013-03-08,29.35,29.70,29.30,29.50,249000,28.67
2013-03-07,29.30,29.55,29.00,29.35,150000,28.53
2013-03-06,29.20,29.60,28.80,29.20,254000,28.38
2013-03-05,29.65,29.65,28.50,28.90,344000,28.09
2013-03-04,29.05,29.95,29.05,29.20,335000,28.38
2013-03-01,29.05,29.35,29.05,29.05,181000,28.24
2013-02-28,29.05,29.05,29.05,29.05,000,28.24
2013-02-27,29.25,29.55,28.90,29.05,422000,28.24
2013-02-26,29.15,29.70,28.95,29.25,359000,28.43
2013-02-25,29.70,30.00,29.25,29.30,354000,28.48
2013-02-22,29.00,31.00,29.00,30.65,1644000,29.79
2013-02-21,29.10,29.10,28.80,29.00,256000,28.19
2013-02-20,29.00,29.15,28.75,29.10,302000,28.29
2013-02-19,28.15,28.90,28.05,28.55,306000,27.75
2013-02-18,28.65,28.70,28.00,28.15,477000,27.36
2013-02-15,28.65,28.65,28.65,28.65,000,27.85
2013-02-14,28.65,28.65,28.65,28.65,000,27.85
2013-02-13,28.65,28.65,28.65,28.65,000,27.85
2013-02-12,28.65,28.65,28.65,28.65,000,27.85
2013-02-11,28.65,28.65,28.65,28.65,000,27.85
2013-02-08,28.65,28.65,28.65,28.65,000,27.85
